SystemCodeNumber,Capacity,Occupancy,LastUpdated,OccupancyRate,PercentOccupied,Date,Time,DayOfWeek,DayOfWeekName,Date_Time_HalfHour,Time_HalfHour
BHMBCCMKT01,577,61,2023-10-04 07:59:42,0.1057192374350086,0.1057192374350086,2023-10-04,07:59:42,2,Wed,2023-10-04 08:00:00,08:00:00
BHMBCCMKT01,577,64,2023-10-04 08:25:42,0.1109185441941074,0.1109185441941074,2023-10-04,08:25:42,2,Wed,2023-10-04 08:30:00,08:30:00
BHMBCCMKT01,577,80,2023-10-04 08:59:42,0.1386481802426343,0.1386481802426343,2023-10-04,08:59:42,2,Wed,2023-10-04 09:00:00,09:00:00
BHMBCCMKT01,577,107,2023-10-04 09:32:46,0.1854419410745234,0.1854419410745234,2023-10-04,09:32:46,2,Wed,2023-10-04 09:30:00,09:30:00
BHMBCCMKT01,577,150,2023-10-04 09:59:48,0.2599653379549393,0.2599653379549393,2023-10-04,09:59:48,2,Wed,2023-10-04 10:00:00,10:00:00
BHMBCCMKT01,577,177,2023-10-04 10:26:49,0.3067590987868284,0.3067590987868284,2023-10-04,10:26:49,2,Wed,2023-10-04 10:30:00,10:30:00
BHMBCCMKT01,577,219,2023-10-04 10:59:48,0.3795493934142114,0.3795493934142114,2023-10-04,10:59:48,2,Wed,2023-10-04 11:00:00,11:00:00
BHMBCCMKT01,577,247,2023-10-04 11:25:47,0.4280762564991334,0.4280762564991334,2023-10-04,11:25:47,2,Wed,2023-10-04 11:30:00,11:30:00
BHMBCCMKT01,577,259,2023-10-04 11:59:44,0.4488734835355286,0.4488734835355286,2023-10-04,11:59:44,2,Wed,2023-10-04 12:00:00,12:00:00
BHMBCCMKT01,577,266,2023-10-04 12:29:45,0.4610051993067591,0.4610051993067591,2023-10-04,12:29:45,2,Wed,2023-10-04 12:30:00,12:30:00
BHMBCCMKT01,577,269,2023-10-04 13:02:48,0.4662045060658579,0.4662045060658579,2023-10-04,13:02:48,2,Wed,2023-10-04 13:00:00,13:00:00
BHMBCCMKT01,577,263,2023-10-04 13:29:45,0.4558058925476603,0.4558058925476603,2023-10-04,13:29:45,2,Wed,2023-10-04 13:30:00,13:30:00
BHMBCCMKT01,577,238,2023-10-04 14:02:47,0.4124783362218371,0.4124783362218371,2023-10-04,14:02:47,2,Wed,2023-10-04 14:00:00,14:00:00
BHMBCCMKT01,577,215,2023-10-04 14:29:49,0.3726169844020797,0.3726169844020797,2023-10-04,14:29:49,2,Wed,2023-10-04 14:30:00,14:30:00
BHMBCCMKT01,577,192,2023-10-04 14:57:13,0.3327556325823224,0.3327556325823224,2023-10-04,14:57:13,2,Wed,2023-10-04 15:00:00,15:00:00
BHMBCCMKT01,577,165,2023-10-04 15:30:14,0.2859618717504332,0.2859618717504332,2023-10-04,15:30:14,2,Wed,2023-10-04 15:30:00,15:30:00
BHMBCCMKT01,577,162,2023-10-04 16:04:12,0.2807625649913345,0.2807625649913345,2023-10-04,16:04:12,2,Wed,2023-10-04 16:00:00,16:00:00
BHMBCCMKT01,577,143,2023-10-04 16:31:14,0.2478336221837088,0.2478336221837088,2023-10-04,16:31:14,2,Wed,2023-10-04 16:30:00,16:30:00
BHMBCCMKT01,577,54,2023-10-05 07:57:17,0.0935875216637781,0.0935875216637781,2023-10-05,07:57:17,3,Thu,2023-10-05 08:00:00,08:00:00
BHMBCCMKT01,577,59,2023-10-05 08:30:15,0.1022530329289428,0.1022530329289428,2023-10-05,08:30:15,3,Thu,2023-10-05 08:30:00,08:30:00
BHMBCCMKT01,577,71,2023-10-05 09:04:19,0.1230502599653379,0.1230502599653379,2023-10-05,09:04:19,3,Thu,2023-10-05 09:00:00,09:00:00
BHMBCCMKT01,577,83,2023-10-05 09:30:15,0.1438474870017331,0.1438474870017331,2023-10-05,09:30:15,3,Thu,2023-10-05 09:30:00,09:30:00
BHMBCCMKT01,577,114,2023-10-05 10:04:15,0.1975736568457539,0.1975736568457539,2023-10-05,10:04:15,3,Thu,2023-10-05 10:00:00,10:00:00
BHMBCCMKT01,577,128,2023-10-05 10:30:17,0.2218370883882149,0.2218370883882149,2023-10-05,10:30:17,3,Thu,2023-10-05 10:30:00,10:30:00
BHMBCCMKT01,577,148,2023-10-05 11:04:19,0.2564991334488735,0.2564991334488735,2023-10-05,11:04:19,3,Thu,2023-10-05 11:00:00,11:00:00
BHMBCCMKT01,577,162,2023-10-05 11:30:18,0.2807625649913345,0.2807625649913345,2023-10-05,11:30:18,3,Thu,2023-10-05 11:30:00,11:30:00
BHMBCCMKT01,577,178,2023-10-05 12:04:14,0.3084922010398613,0.3084922010398613,2023-10-05,12:04:14,3,Thu,2023-10-05 12:00:00,12:00:00
BHMBCCMKT01,577,183,2023-10-05 12:30:16,0.317157712305026,0.317157712305026,2023-10-05,12:30:16,3,Thu,2023-10-05 12:30:00,12:30:00
BHMBCCMKT01,577,175,2023-10-05 12:57:15,0.3032928942807625,0.3032928942807625,2023-10-05,12:57:15,3,Thu,2023-10-05 13:00:00,13:00:00
BHMBCCMKT01,577,179,2023-10-05 13:30:19,0.3102253032928942,0.3102253032928942,2023-10-05,13:30:19,3,Thu,2023-10-05 13:30:00,13:30:00
BHMBCCMKT01,577,174,2023-10-05 13:57:20,0.3015597920277296,0.3015597920277296,2023-10-05,13:57:20,3,Thu,2023-10-05 14:00:00,14:00:00
BHMBCCMKT01,577,158,2023-10-05 14:30:17,0.2738301559792028,0.2738301559792028,2023-10-05,14:30:17,3,Thu,2023-10-05 14:30:00,14:30:00
BHMBCCMKT01,577,145,2023-10-05 14:57:19,0.2512998266897747,0.2512998266897747,2023-10-05,14:57:19,3,Thu,2023-10-05 15:00:00,15:00:00
BHMBCCMKT01,577,129,2023-10-05 15:30:15,0.2235701906412478,0.2235701906412478,2023-10-05,15:30:15,3,Thu,2023-10-05 15:30:00,15:30:00
BHMBCCMKT01,577,121,2023-10-05 16:04:18,0.2097053726169844,0.2097053726169844,2023-10-05,16:04:18,3,Thu,2023-10-05 16:00:00,16:00:00
BHMBCCMKT01,577,114,2023-10-05 16:30:17,0.1975736568457539,0.1975736568457539,2023-10-05,16:30:17,3,Thu,2023-10-05 16:30:00,16:30:00
BHMBCCMKT01,577,58,2023-10-06 07:57:25,0.1005199306759098,0.1005199306759098,2023-10-06,07:57:25,4,Fri,2023-10-06 08:00:00,08:00:00
BHMBCCMKT01,577,63,2023-10-06 08:30:20,0.1091854419410745,0.1091854419410745,2023-10-06,08:30:20,4,Fri,2023-10-06 08:30:00,08:30:00
BHMBCCMKT01,577,70,2023-10-06 08:57:22,0.121317157712305,0.121317157712305,2023-10-06,08:57:22,4,Fri,2023-10-06 09:00:00,09:00:00
BHMBCCMKT01,577,95,2023-10-06 09:30:20,0.1646447140381282,0.1646447140381282,2023-10-06,09:30:20,4,Fri,2023-10-06 09:30:00,09:30:00
BHMBCCMKT01,577,135,2023-10-06 10:03:20,0.2339688041594454,0.2339688041594454,2023-10-06,10:03:20,4,Fri,2023-10-06 10:00:00,10:00:00
BHMBCCMKT01,577,160,2023-10-06 10:30:20,0.2772963604852686,0.2772963604852686,2023-10-06,10:30:20,4,Fri,2023-10-06 10:30:00,10:30:00
BHMBCCMKT01,577,177,2023-10-06 10:57:20,0.3067590987868284,0.3067590987868284,2023-10-06,10:57:20,4,Fri,2023-10-06 11:00:00,11:00:00
BHMBCCMKT01,577,191,2023-10-06 11:30:22,0.3310225303292894,0.3310225303292894,2023-10-06,11:30:22,4,Fri,2023-10-06 11:30:00,11:30:00
BHMBCCMKT01,577,199,2023-10-06 12:04:24,0.3448873483535528,0.3448873483535528,2023-10-06,12:04:24,4,Fri,2023-10-06 12:00:00,12:00:00
BHMBCCMKT01,577,206,2023-10-06 12:30:24,0.3570190641247833,0.3570190641247833,2023-10-06,12:30:24,4,Fri,2023-10-06 12:30:00,12:30:00
BHMBCCMKT01,577,198,2023-10-06 12:57:21,0.3431542461005199,0.3431542461005199,2023-10-06,12:57:21,4,Fri,2023-10-06 13:00:00,13:00:00
BHMBCCMKT01,577,208,2023-10-06 13:30:21,0.3604852686308492,0.3604852686308492,2023-10-06,13:30:21,4,Fri,2023-10-06 13:30:00,13:30:00
BHMBCCMKT01,577,200,2023-10-06 13:57:22,0.3466204506065858,0.3466204506065858,2023-10-06,13:57:22,4,Fri,2023-10-06 14:00:00,14:00:00
BHMBCCMKT01,577,175,2023-10-06 14:30:23,0.3032928942807625,0.3032928942807625,2023-10-06,14:30:23,4,Fri,2023-10-06 14:30:00,14:30:00
BHMBCCMKT01,577,158,2023-10-06 15:04:22,0.2738301559792028,0.2738301559792028,2023-10-06,15:04:22,4,Fri,2023-10-06 15:00:00,15:00:00
BHMBCCMKT01,577,153,2023-10-06 15:31:22,0.2651646447140381,0.2651646447140381,2023-10-06,15:31:22,4,Fri,2023-10-06 15:30:00,15:30:00
BHMBCCMKT01,577,135,2023-10-06 16:04:23,0.2339688041594454,0.2339688041594454,2023-10-06,16:04:23,4,Fri,2023-10-06 16:00:00,16:00:00
BHMBCCMKT01,577,129,2023-10-06 16:30:27,0.2235701906412478,0.2235701906412478,2023-10-06,16:30:27,4,Fri,2023-10-06 16:30:00,16:30:00
BHMBCCMKT01,577,58,2023-10-07 08:03:27,0.1005199306759098,0.1005199306759098,2023-10-07,08:03:27,5,Sat,2023-10-07 08:00:00,08:00:00
BHMBCCMKT01,577,61,2023-10-07 08:30:27,0.1057192374350086,0.1057192374350086,2023-10-07,08:30:27,5,Sat,2023-10-07 08:30:00,08:30:00
BHMBCCMKT01,577,75,2023-10-07 09:04:13,0.1299826689774696,0.1299826689774696,2023-10-07,09:04:13,5,Sat,2023-10-07 09:00:00,09:00:00
BHMBCCMKT01,577,103,2023-10-07 09:30:27,0.1785095320623916,0.1785095320623916,2023-10-07,09:30:27,5,Sat,2023-10-07 09:30:00,09:30:00
BHMBCCMKT01,577,128,2023-10-07 09:57:27,0.2218370883882149,0.2218370883882149,2023-10-07,09:57:27,5,Sat,2023-10-07 10:00:00,10:00:00
BHMBCCMKT01,577,172,2023-10-07 10:30:27,0.2980935875216637,0.2980935875216637,2023-10-07,10:30:27,5,Sat,2023-10-07 10:30:00,10:30:00
BHMBCCMKT01,577,188,2023-10-07 10:57:30,0.3258232235701906,0.3258232235701906,2023-10-07,10:57:30,5,Sat,2023-10-07 11:00:00,11:00:00
BHMBCCMKT01,577,199,2023-10-07 11:30:28,0.3448873483535528,0.3448873483535528,2023-10-07,11:30:28,5,Sat,2023-10-07 11:30:00,11:30:00
BHMBCCMKT01,577,210,2023-10-07 12:03:29,0.363951473136915,0.363951473136915,2023-10-07,12:03:29,5,Sat,2023-10-07 12:00:00,12:00:00
BHMBCCMKT01,577,206,2023-10-07 12:30:28,0.3570190641247833,0.3570190641247833,2023-10-07,12:30:28,5,Sat,2023-10-07 12:30:00,12:30:00
BHMBCCMKT01,577,200,2023-10-07 13:04:28,0.3466204506065858,0.3466204506065858,2023-10-07,13:04:28,5,Sat,2023-10-07 13:00:00,13:00:00
BHMBCCMKT01,577,201,2023-10-07 13:30:29,0.3483535528596187,0.3483535528596187,2023-10-07,13:30:29,5,Sat,2023-10-07 13:30:00,13:30:00
BHMBCCMKT01,577,193,2023-10-07 14:03:28,0.3344887348353553,0.3344887348353553,2023-10-07,14:03:28,5,Sat,2023-10-07 14:00:00,14:00:00
BHMBCCMKT01,577,181,2023-10-07 14:30:32,0.3136915077989601,0.3136915077989601,2023-10-07,14:30:32,5,Sat,2023-10-07 14:30:00,14:30:00
BHMBCCMKT01,577,172,2023-10-07 15:04:30,0.2980935875216637,0.2980935875216637,2023-10-07,15:04:30,5,Sat,2023-10-07 15:00:00,15:00:00
BHMBCCMKT01,577,159,2023-10-07 15:30:32,0.2755632582322357,0.2755632582322357,2023-10-07,15:30:32,5,Sat,2023-10-07 15:30:00,15:30:00
BHMBCCMKT01,577,158,2023-10-07 15:57:31,0.2738301559792028,0.2738301559792028,2023-10-07,15:57:31,5,Sat,2023-10-07 16:00:00,16:00:00
BHMBCCMKT01,577,132,2023-10-07 16:30:29,0.2287694974003466,0.2287694974003466,2023-10-07,16:30:29,5,Sat,2023-10-07 16:30:00,16:30:00
BHMBCCMKT01,577,58,2023-10-08 07:57:38,0.1005199306759098,0.1005199306759098,2023-10-08,07:57:38,6,Sun,2023-10-08 08:00:00,08:00:00
BHMBCCMKT01,577,61,2023-10-08 08:30:37,0.1057192374350086,0.1057192374350086,2023-10-08,08:30:37,6,Sun,2023-10-08 08:30:00,08:30:00
BHMBCCMKT01,577,75,2023-10-08 08:57:34,0.1299826689774696,0.1299826689774696,2023-10-08,08:57:34,6,Sun,2023-10-08 09:00:00,09:00:00
BHMBCCMKT01,577,104,2023-10-08 09:30:37,0.1802426343154246,0.1802426343154246,2023-10-08,09:30:37,6,Sun,2023-10-08 09:30:00,09:30:00
BHMBCCMKT01,577,158,2023-10-08 10:04:34,0.2738301559792028,0.2738301559792028,2023-10-08,10:04:34,6,Sun,2023-10-08 10:00:00,10:00:00
BHMBCCMKT01,577,191,2023-10-08 10:30:34,0.3310225303292894,0.3310225303292894,2023-10-08,10:30:34,6,Sun,2023-10-08 10:30:00,10:30:00
BHMBCCMKT01,577,223,2023-10-08 10:57:34,0.3864818024263431,0.3864818024263431,2023-10-08,10:57:34,6,Sun,2023-10-08 11:00:00,11:00:00
BHMBCCMKT01,577,254,2023-10-08 11:30:38,0.4402079722703639,0.4402079722703639,2023-10-08,11:30:38,6,Sun,2023-10-08 11:30:00,11:30:00
BHMBCCMKT01,577,306,2023-10-08 12:04:34,0.5303292894280762,0.5303292894280762,2023-10-08,12:04:34,6,Sun,2023-10-08 12:00:00,12:00:00
BHMBCCMKT01,577,320,2023-10-08 12:30:36,0.5545927209705372,0.5545927209705372,2023-10-08,12:30:36,6,Sun,2023-10-08 12:30:00,12:30:00
BHMBCCMKT01,577,348,2023-10-08 13:04:39,0.6031195840554593,0.6031195840554593,2023-10-08,13:04:39,6,Sun,2023-10-08 13:00:00,13:00:00
BHMBCCMKT01,577,357,2023-10-08 13:30:36,0.6187175043327556,0.6187175043327556,2023-10-08,13:30:36,6,Sun,2023-10-08 13:30:00,13:30:00
BHMBCCMKT01,577,395,2023-10-08 14:03:38,0.6845753899480069,0.6845753899480069,2023-10-08,14:03:38,6,Sun,2023-10-08 14:00:00,14:00:00
BHMBCCMKT01,577,400,2023-10-08 14:30:35,0.6932409012131716,0.6932409012131716,2023-10-08,14:30:35,6,Sun,2023-10-08 14:30:00,14:30:00
BHMBCCMKT01,577,395,2023-10-08 14:57:41,0.6845753899480069,0.6845753899480069,2023-10-08,14:57:41,6,Sun,2023-10-08 15:00:00,15:00:00
BHMBCCMKT01,577,406,2023-10-08 15:30:39,0.7036395147313691,0.7036395147313691,2023-10-08,15:30:39,6,Sun,2023-10-08 15:30:00,15:30:00
BHMBCCMKT01,577,381,2023-10-08 16:04:39,0.6603119584055459,0.6603119584055459,2023-10-08,16:04:39,6,Sun,2023-10-08 16:00:00,16:00:00
BHMBCCMKT01,577,365,2023-10-08 16:30:42,0.6325823223570191,0.6325823223570191,2023-10-08,16:30:42,6,Sun,2023-10-08 16:30:00,16:30:00
BHMBCCMKT01,577,42,2023-10-09 08:04:40,0.072790294627383,0.072790294627383,2023-10-09,08:04:40,0,Mon,2023-10-09 08:00:00,08:00:00
BHMBCCMKT01,577,42,2023-10-09 08:30:45,0.072790294627383,0.072790294627383,2023-10-09,08:30:45,0,Mon,2023-10-09 08:30:00,08:30:00
BHMBCCMKT01,577,43,2023-10-09 09:04:46,0.0745233968804159,0.0745233968804159,2023-10-09,09:04:46,0,Mon,2023-10-09 09:00:00,09:00:00
BHMBCCMKT01,577,43,2023-10-09 09:30:45,0.0745233968804159,0.0745233968804159,2023-10-09,09:30:45,0,Mon,2023-10-09 09:30:00,09:30:00
BHMBCCMKT01,577,50,2023-10-09 09:57:41,0.0866551126516464,0.0866551126516464,2023-10-09,09:57:41,0,Mon,2023-10-09 10:00:00,10:00:00
BHMBCCMKT01,577,64,2023-10-09 10:30:43,0.1109185441941074,0.1109185441941074,2023-10-09,10:30:43,0,Mon,2023-10-09 10:30:00,10:30:00
BHMBCCMKT01,577,100,2023-10-09 11:04:44,0.1733102253032929,0.1733102253032929,2023-10-09,11:04:44,0,Mon,2023-10-09 11:00:00,11:00:00
BHMBCCMKT01,577,126,2023-10-09 11:30:41,0.218370883882149,0.218370883882149,2023-10-09,11:30:41,0,Mon,2023-10-09 11:30:00,11:30:00
BHMBCCMKT01,577,148,2023-10-09 11:57:46,0.2564991334488735,0.2564991334488735,2023-10-09,11:57:46,0,Mon,2023-10-09 12:00:00,12:00:00
BHMBCCMKT01,577,170,2023-10-09 12:30:41,0.2946273830155979,0.2946273830155979,2023-10-09,12:30:41,0,Mon,2023-10-09 12:30:00,12:30:00
